thread,HTM-block,Checkpoint-block,Abort
1,.1215108,.0003748,.5441004
2,.1567826,.0658023,.2196068
4,.2819552,.2538820,.0907858
8,.4308015,1.8137803,.0445370
16,.5670367,7.9018104,.0257438
