thread,HTM-block,Checkpoint-block,Abort
1,.5315744,.0003664,.5228302
2,.4478767,.0232205,.2104607
4,.4813987,.0333592,.0788356
8,.5589630,.0477508,.0324482
16,.7411454,.0594495,.0162223
