thread,HTM-block,Checkpoint-block,Abort
1,.0079952,0,.0487936
2,.0064869,.0000974,.0060409
4,.1025316,.0013925,.0037022
8,.1927970,.0124555,.0024206
16,.2630573,.0550630,.0019021
