thread,HTM-block,Checkpoint-block,Abort
1,.4467210,.0003778,.5247640
2,.3475135,.0219626,.2215614
4,.4592022,.0266693,.0905128
8,.9567888,.0252261,.0487993
16,5.3997061,.0052228,.0432961
