thread,HTM-block,Checkpoint-block,Abort
1,.0095910,0,.0447546
2,.0057703,.0000420,.0065776
4,.0994786,.0004796,.0037442
8,.2195157,.0112977,.0024109
16,.3057413,.0142211,.0022388
