thread,HTM-block,Checkpoint-block,Abort
1,.0189090,.0003776,.5309382
2,.0093061,.0293282,.1983951
4,.1803641,.0967926,.0726123
8,.2367087,.2518637,.0287550
16,.2590425,.6377234,.0156607
