thread,HTM-block,Checkpoint-block,Abort
1,.2323616,.0000016,.0516044
2,.2137112,.0000246,.0042210
4,.2404373,.0001077,.0038011
8,.2795885,.0002810,.0031767
16,1.7592677,.0003087,.0029398
