thread,HTM-block,Checkpoint-block,Abort
1,.0165484,.0003714,.5289094
2,.1163166,.0435705,.2092924
4,.2602663,.1303035,.0821411
8,.2878520,.4144029,.0353389
16,.1479940,1.0737186,.0203812
