thread,HTM-block,Checkpoint-block,Abort
1,.0054066,0,.0374074
2,.0063117,.0006634,.0143435
4,.1374779,.0058283,.0091076
8,.3416728,.0641843,.0057932
16,2.1899842,.1230092,.0057955
