,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,29.62634,0.04381,0.194388
6,15.198806,0.018298,0.065979
11,17.569889,0.009611,0.064208
16,20.61614,0.007223,0.100933
21,21.246916,0.010461,0.190719
26,23.293367,0.008986,0.191837
