,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.326678,0.207211,0.221776
2,1.235977,0.128004,0.151673
4,0.674527,0.065531,0.079645
8,0.412805,0.036837,0.044619
16,0.259281,0.023016,0.026644
