,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.610718,0.309126,0.378908
2,0.320965,0.180284,0.203113
4,0.177891,0.104633,0.141582
8,0.114827,0.056705,0.07684
16,0.068244,0.03319,0.043963
