,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,1.951725,0.319946,0.902327
2,1.1381,0.192644,0.558663
4,0.884431,0.114124,0.425541
8,0.997823,0.060742,0.40898
16,4.905632,0.036706,2.132354
