,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.122107,0.351316,0.997687
2,1.226406,0.206978,0.566628
4,0.855581,0.121484,0.431693
8,0.763566,0.06352,0.329341
16,0.764878,0.037913,0.314
