,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.472185,0.263305,0.336009
2,0.234333,0.140089,0.180873
4,0.148636,0.102156,0.131512
8,0.086996,0.0558,0.07135
16,0.049356,0.031799,0.041377
