,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.338787,0.205142,0.22453
2,1.238168,0.127879,0.146288
4,0.679368,0.065158,0.079393
8,0.414031,0.037797,0.045037
16,0.257916,0.023234,0.026406
