,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,1.988601,0.323132,0.953473
2,1.150721,0.195145,0.556222
4,0.880986,0.113289,0.421515
8,0.784461,0.061,0.359293
16,0.941347,0.036903,2.156181
