,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.327342,0.208411,0.226383
2,1.237874,0.129277,0.149338
4,0.684025,0.065555,0.080213
8,0.413189,0.037266,0.045183
16,0.258491,0.022724,0.026619
