logsize,HTM-block,Checkpoint-block,Abort
33056,.0054066,0,.0374074
65824,.0062950,0,.0421424
131360,.0039964,0,.0290384
262432,.0058132,0,.0476040
524576,.0079952,0,.0487936
1048864,.0095910,0,.0447546
