logsize,HTM-block,Checkpoint-block,Abort
33056,.1567826,.0658023,.2196068
65824,.1163166,.0435705,.2092924
131360,.0498225,.0348866,.2046891
262432,.0189394,.0302892,.1984679
524576,.0093061,.0293282,.1983951
1048864,.0079336,.0291041,.1989153
