logsize,HTM-block,Checkpoint-block,Abort
33056,.0116922,.0000090,.0358124
65824,.0007396,0,.0032128
131360,.0020158,0,.0079376
262432,.0014140,0,.0056974
524576,.0018434,0,.0073778
1048864,.0032382,0,.0123416
