logsize,HTM-block,Checkpoint-block,Abort
33056,1.1412286,.0003648,.5498324
65824,.6770206,.0003844,.5373264
131360,.4467210,.0003778,.5247640
262432,.4935626,.0003650,.5174214
524576,.5196628,.0003602,.5090994
1048864,.5315744,.0003664,.5228302
