logsize,HTM-block,Checkpoint-block,Abort
33056,3.1244221,.0000034,.0052515
65824,2.3053597,.0000145,.0035387
131360,2.0051953,.0000543,.0033340
262432,1.7592677,.0003087,.0029398
524576,1.5729067,.0004698,.0020055
1048864,1.8027303,.0004738,.0020399
