logsize,HTM-block,Checkpoint-block,Abort
33056,.1374779,.0058283,.0091076
65824,.1325046,.0017829,.0052194
131360,.1484712,.0023364,.0038205
262432,.1162656,.0017177,.0037298
524576,.1025316,.0013925,.0037022
1048864,.0994786,.0004796,.0037442
