logsize,HTM-block,Checkpoint-block,Abort
33056,.6766293,.0000156,.0163501
65824,.1613211,.0000681,.0147845
131360,.1947049,.0000445,.0078371
262432,.2137112,.0000246,.0042210
524576,.2201189,.0000182,.0035479
1048864,.2354127,.0000266,.0038142
