logsize,HTM-block,Checkpoint-block,Abort
33056,.7894694,.0169289,.2258838
65824,.2959734,.0221998,.2188429
131360,.3475135,.0219626,.2215614
262432,.3901330,.0207955,.2182896
524576,.4339444,.0219392,.2152653
1048864,.4478767,.0232205,.2104607
