Function Stack,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
     start_thread,0.071998,0.071998,0.0,0.071998,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.071998,0.071998,0.0,0.071998,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
   insert_initials,0.071989,0.071989,0.0,0.071989,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.071989,0.071989,0.0,0.071989,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.071989,0.071989,0.0,0.071989,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.071989,0.071989,0.0,0.071989,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
__memmove_avx_unaligned_erms,0.128002,0.128002,0.0,0.128002,0.0,0.0,0.0,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18ed40
 MN_write,0.128002,0.128002,0.0,0.128002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,MN_write,min_nvm.cpp,0x292ce
  NVMHTM_write_ts,0.120001,0.120001,0.0,0.120001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_write_ts,nvhtm_helper.cpp,0x21236
   NVMHTM_commit,0.120001,0.120001,0.0,0.120001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
    insert,0.120001,0.120001,0.0,0.120001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
     insert_initials,0.072000,0.072000,0.0,0.072000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
      bptreeThreadFunctionWrapper,0.072000,0.072000,0.0,0.072000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
       start_thread,0.072000,0.072000,0.0,0.072000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
        clone,0.072000,0.072000,0.0,0.072000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
     insert_random,0.048000,0.048000,0.0,0.048000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
      bptreeThreadFunctionWrapper,0.048000,0.048000,0.0,0.048000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
       start_thread,0.048000,0.048000,0.0,0.048000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
        clone,0.048000,0.048000,0.0,0.048000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
  insert,0.008001,0.008001,0.0,0.008001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_random,0.008001,0.008001,0.0,0.008001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
    bptreeThreadFunctionWrapper,0.008001,0.008001,0.0,0.008001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.008001,0.008001,0.0,0.008001,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.008001,0.008001,0.0,0.008001,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
std::bitset<(unsigned long)56>::test,0.109999,0.109999,0.0,0.109999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,std::bitset<(unsigned long)56>::test(unsigned long) const,bitset,0x225ce
 dangerous_threads,0.109999,0.109999,0.0,0.109999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"dangerous_threads(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x2194c
  NVMHTM_validate,0.073999,0.073999,0.0,0.073999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"NVMHTM_validate(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x21883
   NVMHTM_commit,0.073999,0.073999,0.0,0.073999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
    insert,0.073999,0.073999,0.0,0.073999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
     insert_initials,0.040000,0.040000,0.0,0.040000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
      bptreeThreadFunctionWrapper,0.040000,0.040000,0.0,0.040000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
       start_thread,0.040000,0.040000,0.0,0.040000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
        clone,0.040000,0.040000,0.0,0.040000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
     insert_random,0.033999,0.033999,0.0,0.033999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
      bptreeThreadFunctionWrapper,0.033999,0.033999,0.0,0.033999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
       start_thread,0.033999,0.033999,0.0,0.033999,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
        clone,0.033999,0.033999,0.0,0.033999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
  NVMHTM_commit,0.036000,0.036000,0.0,0.036000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.036000,0.036000,0.0,0.036000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_initials,0.024000,0.024000,0.0,0.024000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
     bptreeThreadFunctionWrapper,0.024000,0.024000,0.0,0.024000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.024000,0.024000,0.0,0.024000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.024000,0.024000,0.0,0.024000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
    insert_random,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
std::bitset<(unsigned long)56>::any,0.087996,0.087996,0.0,0.087996,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,std::bitset<(unsigned long)56>::any(void) const,bitset,0x225b4
 NVMHTM_validate,0.087996,0.087996,0.0,0.087996,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"NVMHTM_validate(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x21883
  NVMHTM_commit,0.087996,0.087996,0.0,0.087996,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.087996,0.087996,0.0,0.087996,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_initials,0.047998,0.047998,0.0,0.047998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
     bptreeThreadFunctionWrapper,0.047998,0.047998,0.0,0.047998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.047998,0.047998,0.0,0.047998,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.047998,0.047998,0.0,0.047998,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
    insert_random,0.039998,0.039998,0.0,0.039998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.039998,0.039998,0.0,0.039998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.039998,0.039998,0.0,0.039998,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.039998,0.039998,0.0,0.039998,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
__popcountdi2,0.083975,0.083975,0.0,0.083975,0.0,0.0,0.0,0.0,0.0,libgcc_s.so.1,__popcountdi2,[Unknown],0x3880
 NVMHTM_commit,0.071975,0.071975,0.0,0.071975,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
  insert,0.071975,0.071975,0.0,0.071975,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_random,0.039999,0.039999,0.0,0.039999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
    bptreeThreadFunctionWrapper,0.039999,0.039999,0.0,0.039999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
