,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,8.886722,3.265153,4.506636
2,4.000159,1.536029,2.107716
4,2.070336,0.796467,1.122023
8,1.118203,0.405415,0.620182
16,0.636312,0.200548,0.382657
