,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,77.644225,78.485419,85.003807
6,19.912276,12.638337,15.69746
11,12.653553,7.063497,9.978615
16,11.252896,6.543425,9.855439
21,10.338773,6.072518,9.482038
26,21.553095,5.540353,8.7503
