,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.485129,0.299606,0.337474
2,0.231695,0.172227,0.181005
4,0.127863,0.103127,0.100977
8,0.087138,0.055936,0.070739
16,0.050638,0.032511,0.040328
