type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,169739,1246,68153,12881
db,65824,2,165312,25019,59646,14483
db,65824,4,170794,39839,54187,16135
db,65824,8,190558,70006,48202,16473
db,65824,16,214121,99467,45582,15508
db,98592,1,175459,1168,68254,12657
db,98592,2,164131,23341,59966,14405
db,98592,4,168607,36513,54763,16054
db,98592,8,185010,63666,48627,16255
db,98592,16,217623,97629,45644,14761
db,131360,1,182545,550,67450,6147
db,131360,2,156679,24243,58134,6544
db,131360,4,159917,37527,52510,7490
db,131360,8,175360,67069,46800,7055
db,131360,16,209552,99089,43698,6942
db,164128,1,180591,549,67218,6091
db,164128,2,157310,22475,59185,6562
db,164128,4,158244,36729,52800,7595
db,164128,8,173813,65327,46570,7043
db,164128,16,208707,98480,43913,6836
db,196896,1,180333,565,68496,5905
db,196896,2,158438,23330,60169,6597
db,196896,4,159124,36451,54022,7502
db,196896,8,174836,65190,47668,7086
db,196896,16,222537,98669,45034,6700
db,229664,1,183837,525,68462,6043
db,229664,2,157851,24662,59888,6602
db,229664,4,159159,37512,53648,7467
db,229664,8,175508,66120,47648,7246
db,229664,16,212062,95276,45230,6887
db,262432,1,229370,284,66967,2680
db,262432,2,156452,23427,58457,3034
db,262432,4,158370,39801,52137,3387
db,262432,8,174709,68067,46135,3235
db,262432,16,213091,94887,43152,3191
