,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.617771,0.266451,0.37903
2,0.328458,0.179104,0.20276
4,0.194848,0.10452,0.141911
8,0.114601,0.056272,0.077694
16,0.069068,0.032845,0.04339
