type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,426006,9702,175175,50082
plain,65824,5,347650,28245,187491,56127
plain,65824,9,322704,7306,180122,52207
plain,65824,13,327751,10057,188996,52773
plain,65824,17,318949,6047,188635,52266
plain,65824,21,305164,8381,173494,51535
plain,98592,1,420323,9592,176295,50174
plain,98592,5,355135,24113,191230,55441
plain,98592,9,340260,10389,192727,54322
plain,98592,13,304946,7028,171955,52581
plain,98592,17,272759,5923,125951,52320
plain,98592,21,328803,8575,195769,51537
plain,131360,1,377788,17001,150439,24456
plain,131360,5,282788,33082,142990,27728
plain,131360,9,313206,15134,199166,30266
plain,131360,13,310094,14920,197750,30156
plain,131360,17,265099,14348,151271,27926
plain,131360,21,276773,15594,167474,28486
plain,164128,1,412126,20296,179348,24478
plain,164128,5,328768,33136,195984,27575
plain,164128,9,308979,17066,195078,28791
plain,164128,13,300857,15597,186491,30216
plain,164128,17,200601,13230,75722,31475
plain,164128,21,273837,16632,160340,28170
plain,196896,1,388747,21721,168409,24459
plain,196896,5,294534,37069,164930,27292
plain,196896,9,290062,16134,179000,28722
plain,196896,13,302467,14493,198025,28584
plain,196896,17,202388,16818,85692,29576
plain,196896,21,288217,17395,177412,27685
plain,229664,1,401965,20388,178649,24429
plain,229664,5,308351,35774,179411,27423
plain,229664,9,303052,13117,186250,29384
plain,229664,13,278192,18494,164657,30844
plain,229664,17,294280,16292,176241,29805
plain,229664,21,301315,15502,187088,28293
plain,262432,1,397885,4730,182807,12234
plain,262432,5,281939,22379,167693,13673
plain,262432,9,300134,16997,189530,14338
plain,262432,13,314212,20249,194119,17051
plain,262432,17,264907,13381,144555,19475
plain,262432,21,278416,5573,177036,16560
