logsize,HTM-block,Checkpoint-block,Abort
33056,.0000162,0,.0001545
65824,.0000157,0,.0001558
131360,.0000217,0,.0001763
262432,.0000165,.0000016,.0001616
524576,.0000198,0,.0001606
1048864,.0000189,0,.0002020
