logsize,HTM-block,Checkpoint-block,Abort
33056,3.4723220,.0043885,.0852161
65824,1.5882178,.0109029,.0666787
131360,.8918474,.0263616,.0467621
262432,.5536090,.0395328,.0381683
524576,.5356294,.0456621,.0334499
1048864,.5113340,.0477669,.0324784
