logsize,HTM-block,Checkpoint-block,Abort
33056,.0000490,0,.0005944
65824,.0000604,0,.0006895
131360,.0000629,0,.0006435
262432,.0000675,0,.0007253
524576,.0000797,.0000007,.0007340
1048864,.0001468,0,.0010020
