logsize,HTM-block,Checkpoint-block,Abort
33056,1.6255384,.0000051,.0093710
65824,.6424034,.0000704,.0064628
131360,.3303215,.0002742,.0036208
262432,.2631144,.0003218,.0033210
524576,.2508593,.0003372,.0024311
1048864,.2482439,.0003672,.0022396
