logsize,HTM-block,Checkpoint-block,Abort
33056,2.2312704,.1106790,.0055413
65824,.3617935,.1101472,.0038726
131360,.3625869,.0696011,.0025241
262432,.2331154,.0571464,.0020562
524576,.2110588,.0440560,.0019913
1048864,.2112714,.0554933,.0019185
