logsize,HTM-block,Checkpoint-block,Abort
33056,.2913748,.0722636,.0058005
65824,.2400384,.0189977,.0036384
131360,.2086143,.0132163,.0034231
262432,.1860359,.0116233,.0027036
524576,.1728759,.0098978,.0025410
1048864,.1605814,.0095860,.0024738
