logsize,HTM-block,Checkpoint-block,Abort
33056,1.1349922,.0003744,.5547850
65824,.6634044,.0003762,.5377356
131360,.4332926,.0003804,.5364448
262432,.4788020,.0003740,.5266624
524576,.5048890,.0003712,.5275130
1048864,.5157898,.0003738,.5376668
