logsize,HTM-block,Checkpoint-block,Abort
33056,2.0947796,.0086056,.1228729
65824,.4418687,.0247325,.0990275
131360,.4385030,.0255641,.0904122
262432,.4809347,.0270712,.0830982
524576,.4564994,.0307413,.0806446
1048864,.4537077,.0324044,.0781095
