,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.094888,0.09946,0.121714
5,0.042378,0.026969,0.034801
9,0.037084,0.017981,0.023578
13,0.041803,0.016398,0.018604
17,0.037901,0.015823,0.017071
21,0.051523,0.01527,0.026801
