,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.332986,0.206326,0.222148
2,1.24397,0.128126,0.147562
4,0.685909,0.065604,0.079726
8,0.413868,0.036679,0.045259
16,0.263431,0.022268,0.026974
