thread,abort,conflict,capacity,explicit
1,1632.4000000,21.0000000,1.0000000,0
2,708.2000000,442.4000000,4.2000000,0
4,770.6000000,578.0000000,22.4000000,0
8,1214.8000000,913.8000000,47.2000000,0
16,2141.2000000,1583.6000000,97.8000000,0
