thread,abort,conflict,capacity,explicit
1,32299.6000000,100.8000000,10.0000000,0
2,31591.0000000,416.4000000,24.2000000,42.4000000
4,32052.6000000,580.2000000,31.8000000,513.0000000
8,37703.0000000,2041.4000000,68.2000000,261.0000000
16,44842.2000000,4147.0000000,156.2000000,575.2000000
