thread,abort,conflict,capacity,explicit
1,653.0000000,304.2000000,0,0
2,518.2000000,296.6000000,0,0
4,582.0000000,290.6000000,0,0
8,596.2000000,291.2000000,0,0
16,693.8000000,291.0000000,0,0
