,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.331529,0.208102,0.221079
2,1.240915,0.130454,0.147521
4,0.67913,0.067268,0.079971
8,0.418657,0.036527,0.044747
16,0.256378,0.022199,0.02677
