type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,173777,1325,68299,12657
db,65824,2,165423,25548,59009,14550
db,65824,4,171168,40902,53464,16234
db,65824,8,188361,67497,48531,16249
db,65824,16,219684,102242,45145,14996
db,98592,1,158985,1151,66593,13264
db,98592,2,162489,22710,58504,14552
db,98592,4,166771,35922,52419,16685
db,98592,8,182577,63445,46697,16541
db,98592,16,209879,95383,43682,15736
db,131360,1,162605,486,67817,6199
db,131360,2,156305,23286,59009,6782
db,131360,4,159085,37951,52596,7563
db,131360,8,175194,66614,46177,7168
db,131360,16,205564,96641,43646,7020
db,164128,1,167091,531,67617,5935
db,164128,2,157127,22761,60185,6496
db,164128,4,159947,37972,53753,7367
db,164128,8,174442,64049,48007,7124
db,164128,16,205803,95757,45217,6842
db,196896,1,167358,526,68408,6066
db,196896,2,157930,23662,60170,6383
db,196896,4,159420,36965,54339,7471
db,196896,8,174450,63417,48891,7086
db,196896,16,209532,97766,44731,7032
db,229664,1,159687,492,67958,6031
db,229664,2,158645,22896,59992,6459
db,229664,4,159352,36918,54077,7414
db,229664,8,178832,64746,48131,7095
db,229664,16,215306,97161,45539,6899
db,262432,1,195973,272,67905,2823
db,262432,2,153648,23807,59697,3041
db,262432,4,158503,39050,53491,3344
db,262432,8,175205,67756,47685,3236
db,262432,16,204682,95563,44882,3146
