,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,6.091605,2.350218,3.245661
2,3.181421,1.197315,1.706488
4,1.740086,0.636731,0.954526
8,0.996041,0.339534,0.561479
16,0.648512,0.190425,0.36705
